MPM,MUSIC,F1 Values,F2 Values,Energy Values,Spectral Magnitudes,Spectral Peaks,Speaking Rate,Pitch Peaks,Loudness Values,Pitch Counter,MFCC 1,MFCC 2,MFCC 3,MFCC 4,MFCC 5,MFCC 6,MFCC 7,MFCC 8,MFCC 9,MFCC 10,MFCC 11,MFCC 12,MFCC 13
8487.765934428762,-0.27,802.711503103203,1234.1621106541418,0.14396788,8496.183,234.375,67.42857142857142,126,0.14396788,43,-150.69122,188.9507,-45.08896,3.7578437,26.437864,-8.228362,1.14032,-7.2134514,-6.9920545,2.9975836,-10.301594,-5.6079354,0.609838
6504.877162266754,-0.2299999999999999,116.63004271395168,1381.2951858305314,0.10921231,2746.4397,375.0,84.85714285714285,31,0.10921231,47,-134.23549,183.996,-49.928303,8.708738,27.350138,-14.414025,-1.0243714,-3.4273233,-5.438739,0.661052,-10.231583,-6.167561,-3.3526511
6219.572205487829,0.07,1652.547463223343,2533.1714526472992,0.04667295,1303.118,281.25,127.42857142857142,32,0.04667295,3,-132.03304,188.66838,-57.62748,8.602503,24.951694,-14.852598,2.6811,-4.9206276,-6.799958,0.45442545,-12.5552225,-6.160531,-1.302157
6219.572205487829,0.07,1618.8328424300375,2295.281820895506,0.020368336,1145.2454,375.0,127.42857142857142,32,0.020368336,5,-132.03304,188.66838,-57.62748,8.602503,24.951694,-14.852598,2.6811,-4.9206276,-6.799958,0.45442545,-12.5552225,-6.160531,-1.302157
8792.57202984038,-0.2,1058.7116942451512,2120.222230197457,0.007713876,1127.7738,398.4375,61.71428571428571,32,0.007713876,148,-138.7093,185.32558,-55.345627,11.353991,25.794125,-16.484869,1.8026941,-3.6033084,-5.3672123,0.6310143,-13.773482,-5.9446845,0.36388618
8192.84648773461,-0.37,1081.6816659201197,2327.462368885101,0.0054854807,1197.0037,351.5625,80.85714285714285,32,0.0054854807,198,-150.52733,189.03442,-55.506527,11.872306,28.171263,-11.092084,4.848162,-7.392114,-8.599402,2.9665935,-10.773142,-5.1831098,-0.22633034
8184.8054110762,0.04,936.517382161082,1754.3854417461976,0.005814707,1272.7052,375.0,80.57142857142856,33,0.005814707,201,-161.93468,194.35612,-58.562572,16.052177,23.74063,-14.775113,6.951141,-6.234142,-5.509388,2.3175929,-14.239003,-6.409796,-1.9196286
6991.206681490569,-0.49,1135.2678463717168,2096.7065174827744,0.00624094,1192.474,398.4375,91.71428571428572,58,0.00624094,194,-148.27289,185.39243,-62.348255,11.420562,30.311956,-8.203015,4.800591,-7.337153,-5.4541273,1.9282781,-11.789832,-3.733293,-1.9778967
8212.09016468935,0.47,975.7912441705446,1926.0179641160828,0.006217917,1076.7311,328.125,75.99999999999999,59,0.006217917,193,-118.61927,161.78716,-44.242065,9.288772,29.031012,-5.8908043,2.8011112,-5.95244,-9.383885,-2.9564645,-13.282014,-7.587691,-3.9427938
7656.416074154982,0.05,913.9494810131688,1796.2928018238067,0.0056511085,970.5497,304.6875,78.85714285714285,47,0.0056511085,215,-139.96826,174.06992,-51.997787,6.235046,34.06092,-6.9768705,1.4377917,-3.8004,-7.9141297,0.6600366,-11.602525,-8.68135,-2.691842
