F1 Values,F2 Values,Energy Values,MFCC Values,Spectral Magnitudes,Spectral Peaks,Speaking Rate,Pitch Peaks,Loudness Values,Pitch Counter
nan,nan,0.18389285,"[-137.70485    192.63503     -6.845763     1.0359213   27.611982
    2.8729534    4.21218     -3.3670387  -17.655512    -9.106219
   -5.2995634   -3.482428    -5.0113435]",10526.827,[ 93.75   210.9375],37.99999999999999,51,0.18389285,8
nan,nan,0.1851529,"[-128.25291    202.96704    -12.702226     2.4090178   11.036962
  -14.2093315   15.210237     9.733933   -16.038025    -8.022232
   -7.095166    -4.1650457    2.6279814]",7714.256,[ 70.3125 351.5625],38.857142857142854,49,0.1851529,11
nan,nan,0.17474599,"[-135.18375     202.90382       0.61898226   -2.8727486     9.070734
  -14.984329      4.061358      6.918314    -12.803747     -9.98418
   -8.291291     -6.3461366    -0.3756589 ]",5017.407,[ 23.4375 210.9375],48.28571428571428,47,0.17474599,12
nan,nan,0.18195088,"[-117.2406     186.06349      2.13896      3.6127896   15.439958
   -7.6089544    4.8975997    1.2673033  -14.884201    -8.112261
   -7.0662165   -6.4627466   -3.6525743]",11792.796,[ 46.875  164.0625 328.125 ],52.85714285714285,46,0.18195088,11
nan,nan,0.16937917,"[-120.374664   221.71423    -14.843918    -5.839056     7.7514353
  -20.58896      6.6995945    7.3920584  -16.931988   -13.140262
  -12.428608    -4.870447     4.393407 ]",17251.477,[187.5    304.6875],32.857142857142854,51,0.16937917,8
nan,nan,0.1453483,"[-127.121635   213.85167    -20.501055    -0.8881208   20.675821
  -12.334945     5.048182     2.6936631  -15.635496    -6.2409964
   -9.029975    -7.750894     1.5219164]",20876.625,[ 23.4375 140.625  398.4375],37.71428571428571,52,0.1453483,9
nan,nan,0.08712935,"[-139.88876     205.52159      -0.73413634    2.4122071     7.79259
  -15.9015875     9.38427       7.3370824    -9.952248     -2.8065932
   -9.540831     -8.781486      1.3303739 ]",18327.65,[ 46.875  398.4375],45.42857142857142,47,0.08712935,12
nan,nan,0.16084744,"[-144.97992    202.2391      -2.9070554    2.9242103   11.611973
  -11.901459     7.5713634    3.6874855  -11.441937    -6.0741453
  -12.621585    -9.322804     1.8808055]",17957.984,[351.5625],45.42857142857142,69,0.16084744,38
nan,nan,0.21004868,"[-127.61926    216.39633     -4.6740766   -2.7532032    9.139794
  -16.7281       5.951092     8.899056   -12.068771   -12.972562
  -13.070537    -5.397194     1.3855288]",17780.375,[187.5 375. ],38.28571428571428,108,0.21004868,11
nan,nan,0.24964283,"[-1.30708115e+02  2.12226013e+02 -6.80780697e+00 -1.79580367e+00
  2.33745079e+01  1.23734638e-01  7.94695854e+00  1.00951457e+00
 -1.52941065e+01 -9.32451725e+00 -1.17972898e+01 -9.19467831e+00
 -2.52775455e+00]",18108.076,[ 46.875  117.1875 210.9375 351.5625],60.85714285714285,36,0.24964283,13
nan,nan,0.24287513,"[-135.1293     204.14114     -4.325506    -4.5736575   10.790664
  -11.718389     2.7309732    2.8799539   -9.861838    -6.868915
  -12.137162    -7.5804553    2.8513212]",18981.023,[ 46.875  140.625  187.5    398.4375],40.57142857142857,37,0.24287513,7
