MPM,MUSIC,F1 Values,F2 Values,Energy Values,Spectral Magnitudes,Spectral Peaks,Speaking Rate,Pitch Peaks,Loudness Values,Pitch Counter,MFCC 1,MFCC 2,MFCC 3,MFCC 4,MFCC 5,MFCC 6,MFCC 7,MFCC 8,MFCC 9,MFCC 10,MFCC 11,MFCC 12,MFCC 13
10806.254540002168,-0.31,452.6593376294656,1396.4594695857472,0.22846995,20712.084,375.0,30.0,96,0.22846995,27,-118.079,218.9116,-15.596455,0.24010566,12.309431,-12.801949,11.54025,3.3457427,-15.017748,-4.97981,-9.338868,-3.6789083,5.9358363
10892.257040659586,-0.42,641.0088567918059,1350.565757190738,0.21398742,13264.813,234.375,31.14285714285714,123,0.21398742,57,-140.00877,212.10399,-5.3733377,-3.9635286,9.110907,-12.875587,8.056202,4.0846624,-12.358232,-2.759585,-7.390953,-7.108197,2.5344536
8941.026528040567,-0.07,724.9751428777647,1319.7347411052906,0.17393437,5535.9595,351.5625,58.28571428571428,135,0.17393437,60,-119.625374,205.77934,-2.1361754,3.4200442,8.581593,-14.275496,12.437295,7.266972,-13.153039,-4.3159432,-8.227238,-7.743849,1.1199033
8538.182207753458,-0.5,667.2715490550453,1657.9166991301906,0.10479552,2452.0122,398.4375,56.85714285714285,45,0.10479552,53,-137.58986,220.31029,-9.873458,4.0501776,11.970199,-13.381034,12.435826,5.4007773,-12.9502535,-2.7552295,-6.5499153,-5.2563787,1.9203532
9170.89638166403,0.14,1044.380321312462,1445.6171059215862,0.031251144,2047.1305,304.6875,45.14285714285714,49,0.031251144,85,-131.232,224.60591,-10.775958,3.8223922,14.928027,-18.858116,4.862656,5.312071,-11.921656,-4.8871136,-10.804215,-7.560193,1.9933976
8945.47252170031,0.06,845.0141646897916,1654.141797202213,0.014316778,1518.262,398.4375,50.57142857142856,49,0.014316778,104,-117.68998,230.45268,-9.769351,-4.4026985,10.708899,-14.759453,7.3517756,3.3366597,-15.136426,-6.6678047,-9.070148,-5.6224585,1.3267006
10821.24162173801,-0.3299999999999999,863.2857050629963,1754.457117246433,0.010924778,3927.5686,304.6875,41.99999999999999,43,0.010924778,84,-136.3745,203.71777,-15.124658,5.457906,16.790215,-12.723834,9.183077,3.0994859,-13.898129,-2.4590409,-6.701848,-7.040494,-0.74906236
9372.16761233383,0.19,929.1827287268128,1795.4827133933677,0.011949188,9230.1875,351.5625,46.28571428571428,42,0.011949188,73,-132.26369,208.9931,5.3373957,-5.050989,7.3320003,-10.513357,6.5955734,4.366418,-12.290325,-5.5786343,-6.1923018,-7.3995733,-3.1021914
8647.274151314437,-0.27,536.6295409248055,1659.0981571759637,0.10456089,11824.95,375.0,57.14285714285713,171,0.10456089,53,-142.19038,219.40744,-10.483284,-3.8717744,16.367733,-11.649115,4.3777609,5.319695,-9.4429789,-3.2988703,-6.3655081,-4.5425019,0.16632593
8379.738082029833,-0.19,726.7266947813663,1353.4673077720183,0.10824519,13787.07,351.5625,69.99999999999999,148,0.10824519,36,-138.6752,203.0936,-15.425867,8.0913105,26.976606,-1.5095556,14.039821,1.1794244,-19.984419,-6.6020274,-6.752983,-7.2858157,-2.7544274
