MPM,MUSIC,F1 Values,F2 Values,Energy Values,Spectral Magnitudes,Spectral Peaks,Speaking Rate,Pitch Peaks,Loudness Values,Pitch Counter,MFCC 1,MFCC 2,MFCC 3,MFCC 4,MFCC 5,MFCC 6,MFCC 7,MFCC 8,MFCC 9,MFCC 10,MFCC 11,MFCC 12,MFCC 13
9128.993144843414,0.18,512.190682320321,990.5037613898744,0.22252151,16932.875,375.0,46.85714285714285,50,0.22252151,21,-141.28241,221.84657,-1.1439234,-8.183584,15.148718,-6.118056,1.7124579,1.581347,-9.4511595,-5.564288,-10.066235,-8.290929,1.5982382
7575.748852724586,-0.3299999999999999,543.7607834536379,1840.09429909686,0.19949421,20332.941,375.0,79.99999999999999,50,0.19949421,16,-138.19678,219.44833,-11.429814,-8.291184,15.274461,-9.391869,3.9274745,1.4276524,-14.475179,-5.109565,-7.49529,-9.155056,1.5721301
9308.732512513796,0.0799999999999999,660.0013486225664,1453.3296738345882,0.21229683,17679.74,210.9375,45.14285714285714,49,0.21229683,22,-142.28535,208.8936,-5.5671282,0.99955833,15.988507,-10.690882,4.4839516,4.3117094,-10.707136,-6.3616939,-9.0613098,-8.4116831,0.19107346
10786.983187075017,0.04,482.03324797552506,1475.651116657264,0.196717,20180.406,375.0,32.57142857142857,54,0.196717,14,-152.25479,193.55292,-16.99611,-0.2380689,23.840597,-5.646962,2.9140472,1.4365642,-11.382152,-3.6447332,-5.875991,-7.7454486,-0.26670814
6312.132136109163,0.43,267.0907371883245,1313.6088565740822,0.23273027,22053.646,375.0,85.71428571428571,47,0.23273027,27,-139.1657,215.0359,-7.2563386,2.0163901,16.632366,-10.946711,6.302053,4.2150302,-12.247841,-7.7901797,-10.520243,-5.9287796,-0.12566854
8373.029556406462,0.32,391.047023682244,2003.575460342668,0.24549803,24472.666,328.125,75.71428571428571,78,0.24549803,9,-142.00655,223.61024,-4.3613715,-6.108324,14.205177,-11.655185,2.9169817,5.762917,-9.3698845,-6.1378117,-9.862551,-8.2220335,-0.59987915
9083.581599915427,-0.49,481.2948181418558,1804.0672230901453,0.26307538,19114.441,398.4375,55.42857142857142,98,0.26307538,16,-145.98778,203.69385,1.0880108,-4.616342,10.616938,-8.536347,7.4195166,5.021238,-13.065284,-7.2530675,-7.6192136,-8.092531,-1.437124
8563.931865374247,-0.1099999999999999,755.6530782528722,1403.2704457167836,0.21112451,10675.363,351.5625,64.85714285714285,142,0.21112451,63,-136.68991,198.73318,-2.7393057,-4.6644588,13.134568,-4.176731,7.482957,3.9014683,-9.339012,-5.8596883,-8.773082,-6.5830383,-0.8868052
6777.25649839215,-0.29,788.8783497827593,1289.7000560989688,0.14872232,469.4798,23.4375,102.28571428571428,166,0.14872232,59,-138.44788,203.71506,-3.1317248,-1.1964961,19.150476,-2.6854167,5.7198434,3.366492,-8.6924276,-5.5096121,-9.1886606,-7.0882902,-0.095645115
9042.924027447723,-0.39,781.5907973305472,1571.3707773867118,0.058895975,1062.1316,398.4375,54.57142857142856,32,0.058895975,57,-135.47165,186.05743,2.7308066,-1.68024,21.34653,2.525754,3.325115,0.4914547,-9.637826,-6.357381,-8.184388,-8.361794,-3.8763297
